Model,CAGR_Pct,Sharpe,Vol_Pct,MDD_Pct
Buy-and-Hold,14.51,0.9901,14.80,-22.00
CNN,9.32,0.9746,9.61,-14.80
Co-ViT-LSTM,14.73,1.0371,14.24,-21.71
Co-ViT-TRM,13.53,0.9685,14.00,-22.04
LSTM,12.82,0.9191,14.14,-22.64
TRM,10.08,0.8627,11.95,-19.31
ViT,12.06,0.9059,13.44,-21.61
ViT + LSTM,13.76,0.9906,13.99,-22.85
ViT + TRM,13.35,0.9536,14.19,-21.88
