Model,Pass,Mean_ACC,Std_ACC,Mean_F1,Std_F1,Mean_Precision,Std_Precision,Mean_Recall,Std_Recall
CNN,pass01,0.5015874,0.0162650337472751,0.486525,0.0174557845283447,0.5082398,0.0228236223943527,0.5047078,0.0187936194411827
CNN,pass02,0.523506,0.0224669099677726,0.515384,0.0184489217706618,0.5192312,0.0193504146518879,0.5185524,0.0187005884479606
CNN,pass03,0.4924304,0.0215651826053015,0.4791752000000001,0.0277826912159351,0.4995506,0.0245220497980898,0.4997135999999999,0.0220314899359984
CNN,pass04,0.4682539999999999,0.0477841199720158,0.4596951999999999,0.0448221290123528,0.4780782,0.0353859423528609,0.4788498,0.0355659565061872
CNN,pass05,0.5351778,0.0171380006330959,0.4776662,0.015859652303881,0.4843616,0.0099557888838604,0.4874324,0.008415375024323
CNN,pass06,0.5134920000000001,0.0278628001554043,0.4262202,0.0274987125735006,0.4566294,0.0308890251108706,0.4753498,0.0198248208491275
CNN,pass07,0.4693228,0.0255726816485874,0.432326,0.0175987583084716,0.4682024,0.030573630145928,0.4744474,0.0266575706376256
CNN,pass08,0.4599999999999999,0.0228035085019827,0.4598084,0.0228053446761937,0.4599441999999999,0.0228376403597219,0.4599999999999999,0.0228035085019827
CNN,pass09,0.4682538,0.0204279871304051,0.4622003999999999,0.0221241268822071,0.4747119999999999,0.0313160735405957,0.4739607999999999,0.0317657430922054
CNN,pass10,0.6305221999999999,0.03250315345778,0.5117376,0.0183272351515442,0.5211892,0.0247960353020396,0.5157692,0.0171807445618633
LSTM,pass01,0.5095240000000001,0.005324077854427,0.3725226,0.0432079085156872,0.4780972,0.2094166030839006,0.511023,0.0109559966000359
LSTM,pass02,0.5984064,0.0375221233980701,0.4849237999999999,0.1187707935908487,0.5086054,0.2119647344319332,0.557516,0.0534020406772999
LSTM,pass03,0.4613547999999999,0.0174575610753621,0.344614,0.0363260555524543,0.3096526,0.1002982402427879,0.4838234,0.0222591628953112
LSTM,pass04,0.5547618,0.0799778029249365,0.4088792,0.0506038204407532,0.3994642,0.1288690588240637,0.5125232000000001,0.0201908394377252
LSTM,pass05,0.6118576,0.0017673881294158,0.3814574,0.0034779801322031,0.3395925999999999,0.0743908511162495,0.49973,0.0006037383539249
LSTM,pass06,0.559524,0.0,0.358779,0.0,0.279762,0.0,0.5,0.0
LSTM,pass07,0.4900399999999999,0.0,0.328877,0.0,0.2450199999999999,0.0,0.5,0.0
LSTM,pass08,0.5072,0.0121326007104824,0.4027166,0.0957487857171045,0.3576778,0.1476092346440425,0.5072,0.0121326007104824
LSTM,pass09,0.570635,0.0416573281308343,0.4719876,0.0933031604089593,0.4453897999999999,0.1370814391363761,0.5248236000000001,0.0310769747047553
LSTM,pass10,0.706827,0.0,0.414118,0.0,0.353414,0.0,0.5,0.0
Transformer,pass01,0.4873016,0.0409904945237307,0.4189194,0.0487914511856329,0.4357292,0.1098658275884726,0.4815276,0.0357509242160255
Transformer,pass02,0.5888446,0.0414417991923613,0.4746022,0.1378797352974685,0.5564818,0.1914663711940036,0.5519306,0.0675276441896206
Transformer,pass03,0.4653387999999999,0.0124086272689608,0.374047,0.0302551022060742,0.4174828,0.1041412193667809,0.4861216,0.0145343626038433
Transformer,pass04,0.5158728,0.0899228193602714,0.4165924,0.035188904327927,0.4424436,0.0770562705060399,0.4866419999999999,0.012312616131432
Transformer,pass05,0.570751,0.058665899754457,0.4535414,0.0564868695300066,0.4757664,0.0974998609655419,0.5067084000000001,0.0185879955428227
Transformer,pass06,0.5587304000000001,0.0017745435469438,0.3600596,0.0028635086519862,0.3129662,0.0742468483384985,0.4994823999999999,0.0011573887851538
Transformer,pass07,0.4932272,0.0071267958578873,0.3419548,0.0179264041346835,0.3957722,0.2251383790298757,0.5029662,0.0070848314870574
Transformer,pass08,0.52,0.043081318457076,0.4465778,0.1140276002496763,0.4196194,0.1598211946670403,0.52,0.043081318457076
