Model,Sigma_Seed_ACC,Sigma_Seed_CAGR,Sigma_Seed_Sharpe
CNN,0.0118,1.33,0.1190
Co-ViT-LSTM,0.0017,0.42,0.0176
Co-ViT-TRM,0.0155,2.71,0.1216
LSTM,0.0191,2.41,0.1216
TRM,0.0117,1.41,0.0867
ViT,0.0194,2.60,0.1115
ViT + LSTM,0.0069,1.28,0.0462
ViT + TRM,0.0126,1.26,0.0597
