Model,Pass,Mean_ACC,Std_ACC,Mean_F1,Std_F1,Mean_Precision,Std_Precision,Mean_Recall,Std_Recall
CNN,pass01,0.4349206,0.0240727117770308,0.4289557999999999,0.0218360857458474,0.4322186,0.0225208682958717,0.434789,0.0224946528868529
CNN,pass02,0.4820718,0.0507870384320645,0.465124,0.0516016530839856,0.5150812,0.0955229308841599,0.4922328,0.0578371824495281
CNN,pass03,0.50996,0.0101572468710768,0.5044514,0.014277230834444,0.5160718,0.0080546497254691,0.5152216000000001,0.0081382131515462
CNN,pass04,0.5134920000000001,0.0242356672592276,0.4872784,0.0214966380348183,0.4978564,0.0283450802750671,0.498794,0.0272011324672337
CNN,pass05,0.4861662,0.0414549801676469,0.468588,0.0185223995340776,0.4847655999999999,0.0157383697472133,0.4845819999999999,0.0167666814993307
CNN,pass06,0.45,0.0543086429355401,0.4258398,0.0422424970698939,0.4387221999999999,0.0363126104776288,0.4467892,0.0314402612775402
CNN,pass07,0.501992,0.0195175342704963,0.4635458,0.0245621881903873,0.5145664,0.0424187290038256,0.5039062000000001,0.0246186242852845
CNN,pass08,0.5176000000000001,0.0344789791032159,0.4925867999999999,0.0468449822094106,0.5191026,0.0419837910960885,0.5176000000000001,0.0344789791032159
CNN,pass09,0.4555554,0.0283944087418632,0.4126568,0.0236495798419337,0.489862,0.0657245767274312,0.4811764,0.0468475276594186
CNN,pass10,0.5461848,0.096844701056382,0.4345266,0.0244966563493877,0.4477018,0.0405659137417117,0.4649281999999999,0.0296943667839541
LSTM,pass01,0.4952382,0.0395236420285378,0.3411784,0.0039587877942622,0.373692,0.2175978428201897,0.4840989999999999,0.0378690510839656
LSTM,pass02,0.5705180000000001,0.062194597751734,0.4935176,0.098115866078326,0.5396404,0.1167265101907017,0.5448326,0.0550889654404582
LSTM,pass03,0.4940238,0.0278882500024651,0.4315946,0.0897420163958889,0.4577123999999999,0.1257000723559855,0.5084288,0.0193836218545451
LSTM,pass04,0.4682538,0.0600504365154825,0.4256006,0.0852426388980303,0.4449702,0.1408919814812042,0.5048236,0.0127005205129553
LSTM,pass05,0.4735178,0.0391684619202745,0.4516041999999999,0.0372272350732632,0.4961328,0.0577738743438589,0.4926465999999999,0.0426918293915826
LSTM,pass06,0.4865077999999999,0.0240724809938651,0.3991994,0.0621665058194523,0.4671844,0.1041241390422989,0.4859304,0.0337695246605574
LSTM,pass07,0.4892432,0.0099200799996774,0.3520379999999999,0.0487726199111755,0.3235346,0.1200566092299795,0.4984566,0.0092390068080935
LSTM,pass08,0.4856,0.0269221098727421,0.3793178,0.0646183694138129,0.458162,0.1914902688689427,0.4856,0.0269221098727421
LSTM,pass09,0.4253969999999999,0.0461412627157081,0.3261817999999999,0.0850729950583615,0.2577072,0.1237131441367488,0.496,0.0089442719099991
LSTM,pass10,0.5389556,0.2299068513742032,0.3384504,0.1036195937494448,0.2896442,0.0935328673044935,0.4950888,0.0109817770510969
Transformer,pass01,0.5007936,0.0750512987415941,0.4119464,0.1133076020565257,0.4132175999999999,0.1743308032371215,0.4957648,0.0803526461711124
Transformer,pass02,0.50996,0.068021291438784,0.401569,0.0842100271642278,0.4367633999999999,0.1835414167342073,0.5194724,0.0348308580471397
Transformer,pass03,0.5219126000000001,0.0606181715436881,0.4731386000000001,0.1191727663784809,0.4700782,0.1445116325618806,0.52973,0.0479107809788151
Transformer,pass04,0.4357141999999999,0.0098810234641964,0.4057908,0.0281750560283382,0.4912746,0.0651731210761,0.4819108,0.0496940546866524
Transformer,pass05,0.578656,0.0559398461251011,0.4662824,0.089261669160396,0.4443819999999999,0.1305829690828785,0.5210402000000001,0.0404261175751518
Transformer,pass06,0.559524,0.0,0.358779,0.0,0.279762,0.0,0.5,0.0
Transformer,pass07,0.5147412,0.033852827573188,0.390521,0.0845395340772588,0.4011904,0.2138758433783488,0.5237106,0.0324918628397942
Transformer,pass08,0.5168,0.0250439613479976,0.4102304,0.0963041706043928,0.4658752,0.2167166163050263,0.5168,0.0250439613479976
Transformer,pass09,0.4198412,0.0383095076149511,0.326357,0.0847871808117241,0.2947224,0.1479495006473492,0.5045098,0.0171635932485013
Transformer,pass10,0.4722891999999999,0.1829755455305435,0.3604584,0.1277891353316079,0.3611086,0.2150429745836864,0.5080558,0.0502147409502429
ViT,pass01,0.5063494000000001,0.0124226992557978,0.3595892,0.046971291148956,0.3020758,0.1031359521806047,0.498166,0.0041009486707346
ViT,pass02,0.5107572,0.057624445777812,0.3967159999999999,0.0485354082449092,0.3741562,0.0890613311387158,0.4772649999999999,0.027068534906788
ViT,pass03,0.4780878,0.0313703966216559,0.3839768,0.0758530157917271,0.4099631999999999,0.1683350830923251,0.4977464,0.0331907692408597
ViT,pass04,0.6015872,0.0187393500474269,0.4081287999999999,0.0383882855269677,0.4717934,0.1625440624932205,0.5003712,0.0140584921026403
ViT,pass05,0.612648,0.0,0.379902,0.0,0.306324,0.0,0.5,0.0
ViT,pass06,0.5484128,0.010648081174559,0.3724856,0.0217506147453353,0.3666129999999999,0.0896298511657806,0.4925627999999999,0.0083528701474403
ViT,pass07,0.4900399999999999,0.0,0.328877,0.0,0.2450199999999999,0.0,0.5,0.0
ViT,pass08,0.4952,0.0107331262919989,0.3938042,0.0821775989896273,0.3717419999999999,0.1223695370261733,0.4952,0.0107331262919989
ViT,pass09,0.531746,0.0933595079919554,0.406696,0.0328899230540297,0.4271862,0.1409250497062179,0.485255,0.0344366030409504
ViT,pass10,0.6995982,0.0161640881957504,0.4422728,0.0629560466929111,0.3970476,0.0975676957030348,0.5109199999999999,0.0244178623142976
ViT + LSTM,pass01,0.507143,0.010648155708854,0.3726184,0.0651666645594202,0.352447,0.1322812916024031,0.497769,0.0053113079368456
ViT + LSTM,pass02,0.510757,0.0464105209354516,0.4572993999999999,0.0685608538657447,0.4859576,0.1342588948945282,0.518694,0.0418873459949422
ViT + LSTM,pass03,0.4756973999999999,0.0114781744977152,0.3928624,0.0685686782379535,0.3796822,0.131061624944909,0.4896803999999999,0.0134757380614198
ViT + LSTM,pass04,0.5103174,0.1045241066754459,0.3616126,0.0488087735535323,0.4375826,0.0978672984086104,0.4906308,0.0207229117572796
ViT + LSTM,pass05,0.612648,0.0,0.379902,0.0,0.306324,0.0,0.5,0.0
ViT + LSTM,pass06,0.5603176000000001,0.0017745435469438,0.3623268,0.0079331219705737,0.3467012,0.1496806015594539,0.5010926,0.0024431278722162
ViT + LSTM,pass07,0.4900399999999999,0.0,0.328877,0.0,0.2450199999999999,0.0,0.5,0.0
ViT + LSTM,pass08,0.4952,0.0324222146066551,0.3866279999999999,0.0462814670899702,0.4583022,0.1576918120597896,0.4952,0.0324222146066551
ViT + LSTM,pass09,0.4714284,0.0573958846852281,0.4419572,0.0921725146217678,0.5424266,0.1047211974306062,0.4995294,0.0497027576629305
ViT + LSTM,pass10,0.706827,0.0,0.414118,0.0,0.353414,0.0,0.5,0.0
Co-ViT-LSTM,pass01,0.5079366000000001,0.0074239827788054,0.4280739999999999,0.0710247025935342,0.4605446000000001,0.1145109712114957,0.5066364,0.0076076234331096
Co-ViT-LSTM,pass02,0.467729,0.0576384340219267,0.3887315999999999,0.0201450283519284,0.4379406,0.1186957238880154,0.469112,0.0598460459554347
Co-ViT-LSTM,pass03,0.4788848,0.0110551513422476,0.3820582,0.0783305433448536,0.3817552,0.134910202502257,0.4988352,0.0073176191961593
Co-ViT-LSTM,pass04,0.4746031999999999,0.0962497349097648,0.3917068,0.0789341278326428,0.4836772,0.0430946803352803,0.4974026,0.0171071595333649
Co-ViT-LSTM,pass05,0.5992094,0.0300496231224286,0.3775672,0.0052207715138665,0.3132035999999999,0.0153832532580075,0.4897828000000001,0.0228463537397108
Co-ViT-LSTM,pass06,0.5587304000000001,0.0017745435469438,0.3793066,0.0316717023271563,0.3781628,0.1347867409621584,0.502166,0.003169613225616
Co-ViT-LSTM,pass07,0.4900399999999999,0.0,0.328877,0.0,0.2450199999999999,0.0,0.5,0.0
Co-ViT-LSTM,pass08,0.5224,0.0421046315742104,0.4478662,0.0760690944516891,0.499012,0.1525406025997668,0.5224,0.0421046315742104
Co-ViT-LSTM,pass09,0.4857142,0.0747991136391334,0.4140608,0.0859763174409092,0.3903396,0.1336439711539581,0.4898823999999999,0.0139248701717466
Co-ViT-LSTM,pass10,0.706827,0.0,0.414118,0.0,0.353414,0.0,0.5,0.0
ViT + Transformer,pass01,0.4793652,0.0505390508438771,0.3556656,0.0393868410487563,0.309463,0.0830928401729053,0.4696539999999999,0.048102303978084
ViT + Transformer,pass02,0.523506,0.0616952578120879,0.4843676,0.1042737780379132,0.5793876,0.0293141251498317,0.5534492,0.0419682465764296
ViT + Transformer,pass03,0.5450196,0.0399797050551901,0.5311198,0.053112139532314,0.555369,0.0300866481765583,0.5512859999999999,0.0323087533263046
ViT + Transformer,pass04,0.4317461999999999,0.0164575128497595,0.4124116,0.0302870274259459,0.48291,0.0311820294240128,0.483859,0.0278648717743326
ViT + Transformer,pass05,0.5067193999999999,0.0904524928418227,0.3976964,0.0597520413985999,0.4583917999999999,0.1509170871296554,0.4840948,0.0333856674892085
ViT + Transformer,pass06,0.5396826,0.0561197064657327,0.3696788,0.0586708634775388,0.329614,0.1470242800628522,0.5064214,0.0143586869107171
ViT + Transformer,pass07,0.4900399999999999,0.0,0.328877,0.0,0.2450199999999999,0.0,0.5,0.0
ViT + Transformer,pass08,0.484,0.0372021504754765,0.3916926,0.0754414361296231,0.3953826,0.1508696739417832,0.484,0.0372021504754765
ViT + Transformer,pass09,0.4785714,0.0760000481532742,0.3823996,0.0527097632588119,0.4969054,0.1454339665150476,0.4976862000000001,0.0158731165244887
ViT + Transformer,pass10,0.5413654,0.2265676268022419,0.339154,0.1026486845020431,0.2706828,0.1132843611236785,0.5,0.0
Co-ViT-Transformer,pass01,0.4531746,0.0491166691745277,0.343905,0.033979330290634,0.417283,0.1962474810882932,0.4439592,0.0474009168181376
Co-ViT-Transformer,pass02,0.475697,0.0360331623299981,0.3918346,0.0907416851276192,0.534815,0.1907114628201461,0.5182432,0.0220437415426691
Co-ViT-Transformer,pass03,0.5362549999999999,0.0419367403060848,0.4753552,0.0815890307712991,0.5983764,0.0856986428848205,0.5329385999999999,0.0244115791336816
Co-ViT-Transformer,pass04,0.4357144,0.0495160130089247,0.3935796,0.0334157024361302,0.461313,0.044055771386959,0.4659556,0.0288065642224129
Co-ViT-Transformer,pass05,0.5422926,0.0661036915482032,0.4331516000000001,0.0711555928638079,0.4067041999999999,0.1081898028036838,0.4857342,0.0515311059623214
Co-ViT-Transformer,pass06,0.5531748000000001,0.0121016590267615,0.3918746,0.0749219123407832,0.32881,0.1101661350960448,0.5044854,0.0121096736041893
Co-ViT-Transformer,pass07,0.4900399999999999,0.0,0.328877,0.0,0.2450199999999999,0.0,0.5,0.0
Co-ViT-Transformer,pass08,0.5112,0.0208614476966485,0.3805722,0.0927188487078005,0.3852336,0.1872131128348118,0.5112,0.0208614476966485
Co-ViT-Transformer,pass09,0.4753966,0.0940901273237527,0.4062184,0.1152514776100506,0.3936768,0.18495975921589,0.5034902,0.0401887921714499
Co-ViT-Transformer,pass10,0.5598392000000001,0.2039035410413463,0.3661778,0.0811873495391985,0.3695084,0.1760851804008503,0.5122666,0.0274289514527989
