Model,Avg_ACC,Macro_F1,Wins_CNN,Wins_Pattern
Always-Up,0.5619,0.3598,--,--
CNN,0.5147,0.4840,Baseline,Baseline
Co-ViT-LSTM,0.5631,0.3981,9/10,++++++-+++
Co-ViT-TRM,0.5541,0.3815,7/10,++-+++--++
LSTM,0.5436,0.3735,7/10,++-+++--++
TRM,0.5288,0.4350,6/10,++--++--++
ViT,0.5402,0.3916,7/10,++-+++--++
ViT + LSTM,0.5553,0.4062,9/10,++++++-+++
ViT + TRM,0.5499,0.3845,9/10,++++++-+++
