Model,ACC_Min,ACC_Max,CAGR_Min,CAGR_Max,Sharpe_Min,Sharpe_Max,MDD_Min,MDD_Max
CNN,0.4994,0.5325,6.98,10.21,0.7687,1.0584,-18.15,-12.37
Co-ViT-LSTM,0.5607,0.5651,14.28,15.26,1.0170,1.0599,-22.27,-21.03
Co-ViT-TRM,0.5273,0.5651,8.80,15.19,0.7558,1.0592,-22.28,-21.91
LSTM,0.5186,0.5619,9.62,14.97,0.7501,1.0265,-26.52,-20.70
TRM,0.5107,0.5410,8.60,12.16,0.7635,0.9603,-21.98,-17.60
ViT,0.5091,0.5611,7.83,14.62,0.7285,1.0023,-22.63,-20.11
ViT + LSTM,0.5481,0.5647,12.28,15.32,0.9375,1.0499,-25.41,-21.40
ViT + TRM,0.5322,0.5647,11.93,14.97,0.8863,1.0246,-22.63,-21.03
